LOV,BHI,BBO,VCS,VKO,LOV,1658.6244275911931
YOD,ZML,CGO,EMD,SMR,YOD,11646.063452669732
AUY,BPX,ABT,YVB,VOK,AUY,11957.728654823792
JOK,TMP,YUL,STE,KPC,JOK,12019.179697584092
VCV,COR,LPG,CZW,YKX,VCV,12144.7543553599
LIF,PIO,DKR,UUU,VEL,LIF,12520.545536586918
MEY,VNA,LYI,ZML,ARE,MEY,12709.832521654085
SHM,BEZ,PZI,QSF,AUW,SHM,12872.888564859371
UYN,KPB,YGV,POL,NLA,UYN,12932.187251931904
VOH,TTU,RHO,3W2,OAJ,VOH,12953.31910260321
MJM,FJR,FMO,HVR,DSO,MJM,13386.451042997234
BMY,GLK,ASB,BRR,GAI,BMY,13561.47976558953
ANN,SHR,GNY,TJS,YNZ,ANN,13856.530834432175
AGF,SKB,EFD,YCR,LBZ,AGF,14072.089159583404
GHB,ZNZ,HEN,YSJ,UGN,GHB,15589.457965346763
MLG,XTG,REY,GEU,BJV,MLG,15663.677425749396
BRW,GUL,SYO,HOV,PPW,BRW,15959.612624237816
SWQ,KTR,MXY,NXX,MJD,SWQ,16726.603971131444
SHM,HAK,HER,CWL,YCB,SHM,16745.628983514547
DKI,GNA,BJF,YHU,ALI,DKI,17001.83439289815
BRS,KDI,VLS,KGE,YNM,BRS,17042.0765530426
FAV,SNY,ZAR,SAW,KEK,FAV,17268.85427969402
NTL,ZAH,YPY,YWH,JHM,NTL,18500.412006715094
QSF,SNN,HHH,EMD,PJA,QSF,20418.526762966
HAK,NFO,YRA,YMG,CSF,HAK,20990.428033707947
KIR,DLE,CMR,NON,MTN,KIR,28263.037555940413
HDB,LDN,PZI,JZH,SKX,HDB,3028.031485558596
LML,SBA,CID,O03,ZMU,LML,30461.183915404756
KUC,HPB,MHK,FDH,PYR,KUC,31788.29539307794
IOM,BRO,WSZ,QFZ,XWW,IOM,38957.469097906
AKR,KYA,SCV,XDB,LPY,AKR,4199.988438413581
ADF,KYD,WDH,SFD,TED,ADF,4895.898180800685
SGD,BMK,SUG,TSU,XIL,SGD,6672.685341878263
SEM,VST,PGU,OBX,CVM,SEM,6864.344664888456
SMO,RTW,MXX,YPQ,CDS,SMO,8468.319676202329
LSY,AHE,BYO,BLR,LXG,LSY,8732.00701083806
DVO,PFQ,LEQ,PBM,MUB,DVO,9090.750607159693
TTR,KSA,NCS,BEL,RKE,TTR,9434.175839718424
CEF,OKN,ZRJ,PSC,MLS,CEF,13740.151929678166
MPY,GSQ,EVE,ZPB,CXL,MPY,15591.737981991446
BQT,OSH,LES,ZAT,PTG,BQT,16236.365733793888
YPM,PNB,MSU,MVV,FOA,YPM,17974.94054123407
BCO,AMM,COF,QSA,NGX,BCO,21635.811909981032
MGQ,ZAG,KSK,LRV,JDO,MGQ,3265.608812153233
ENH,LSZ,FNC,YHN,GWD,ENH,9145.411537474823
AQJ,RRS,YQG,MYJ,TEQ,AQJ,10166.4498838048
2B2,ROA,MMH,ZAL,CIJ,2B2,10315.617172564449
BUU,SST,DUE,IAS,HUL,BUU,10490.782236840781
TYE,NYT,JIB,VDS,CWI,TYE,11414.80918985901
STK,OTU,BIX,PAH,KXK,STK,11583.920320998044
UVF,GLQ,YJS,RAZ,BCW,UVF,13673.878776650074
UTC,HMN,WFB,ZAJ,THF,UTC,16341.467955785205
CPX,RIC,PUB,CGN,SLA,CPX,18388.55782010035
QPP,KTG,CYF,BSC,YGW,QPP,19031.17572201499
YLD,MVT,PUK,PGA,MHG,YLD,19872.427241620288
UIN,RGS,UBP,ILI,RAP,UIN,20588.10952881012
MQT,BDR,HOM,GNI,WJA,MQT,21779.048721281
BIL,AJU,NCS,LRH,LUR,BIL,22783.190406951948
AXJ,ESH,SDE,BMG,JAC,AXJ,23995.977330719445
DSN,ULX,WVB,ZAH,SLD,DSN,6137.906632840966
MME,RMG,VVO,MUX,PKV,MME,9147.7057787419
AWZ,KSH,PHO,KKH,YQL,AWZ,11196.002325354839
DZN,YXY,POC,CUR,UKA,DZN,11911.930159413088
CZG,CEK,CZN,MLD,ERI,CZG,12205.741233598244
AAE,LWN,VEE,JOT,NEC,AAE,12953.59616933887
YBZ,FDF,KHW,ULV,SPZ,YBZ,16258.164031498633
YXC,BBM,QUA,YYZ,LBL,YXC,16804.042562971903
MCM,MYG,TLH,TTJ,GSS,MCM,17689.462263844136
KCT,CTL,HVG,KPC,HGR,KCT,17780.021527955858
BMW,GYL,PNP,UIT,HHI,BMW,17925.244502473823
HVN,CBT,JRH,BDB,JON,HVN,21127.75805324441
ZRP,GIC,MJK,MUW,KEL,ZRP,21654.72453936761
FDW,WKJ,HID,VTS,IWD,FDW,25390.59279701107
ZBP,ASH,MQT,PJM,NGU,ZBP,5125.880809671019
SOB,ENF,IQQ,UVA,TRK,SOB,8539.347107022253
JYL,MKU,LKG,TTR,EYK,JYL,8660.894224376221
CIY,MAR,BKD,ZUN,MCX,CIY,8819.743817934163
PKB,MCG,PBV,PLD,BHM,PKB,9371.105872044816
LSA,DRK,DLH,KYS,RKE,LSA,9825.400298725512
IGB,BMW,SEY,YPE,HYS,IGB,10415.823825145948
YHY,IXZ,HUI,KLL,ZSJ,YHY,12519.17867760339
SZX,PRY,OLC,EAT,CLS,SZX,12880.038747232044
HHN,CFR,ADM,ELY,KLC,HHN,13915.273511010128
AOT,BHB,KHW,NAW,HRE,AOT,14278.299917691074
